t_sim,pitch_cf_deg,pitch_gt_deg,pitch_err_deg,theta_ref_deg,torque_Nm,v_actual_ms,v_cmd_ms
0.04000000000000002,-0.004275931109714329,13.035928888429146,-13.040204819538861,1.2876396791911286,1.9471136486430307,0.00020250651332630754,0.0
0.08000000000000006,0.003555561817854935,13.494725524686233,-13.491169962868378,15.284428020314655,21.572629698596945,-0.030056602103236504,0.0
0.12000000000000009,0.002976609212962794,15.284503825882625,-15.281527216669662,-57.29577951308232,-40.0,-0.004248928296005327,0.0
0.16000000000000011,-0.44905169724477256,15.128629494686493,-15.577681191931267,28.346941577754762,35.969292366906984,-0.023714175731969628,0.0
0.20000000000000015,-1.3664249344165194,19.659376266004557,-21.02580120042108,-57.29577951308232,-40.0,0.10626875736541366,0.0
0.24000000000000019,-1.2686878708674543,20.992776333682404,-22.261464204549856,57.29577951308232,40.0,-0.24923111825235647,0.0
0.2800000000000002,-1.7540263917424546,22.02198363369736,-23.776010025439813,57.29577951308232,40.0,-0.021333020224950844,0.0
0.32000000000000023,-1.4970049335106341,23.02728978653745,-24.524294720048086,-47.99682785748957,-40.0,0.11543978475146828,0.0
0.36000000000000026,-1.4308441608853406,19.12589198674563,-20.55673614763097,-57.29577951308232,-40.0,-0.06511489370732323,0.0
0.4000000000000003,-1.3595616081964175,12.899280774306808,-14.258842382503225,18.874569978173152,28.213399593596797,-0.0522515311827242,0.0
0.44000000000000034,-1.0333046519595475,10.931471949924113,-11.964776601883662,-57.29577951308232,-40.0,0.03823805711709421,0.0
0.48000000000000037,-0.8613272773469728,4.760568129920323,-5.621895407267296,57.29577951308232,40.0,-0.1818266321614408,0.0
0.5200000000000004,-0.9914633021970312,1.1575025951936393,-2.1489658973906702,-57.29577951308232,-40.0,0.19557306617980022,0.0
0.5600000000000004,-0.8717654101368707,-1.624556557622303,0.7527911474854324,3.7069680066951523,3.064893042981753,-0.08964318756449743,0.0
0.6000000000000004,-0.8443040748227202,-5.53419656641516,4.689892491592439,-57.29577951308232,-40.0,0.1766166191686405,0.0
0.6400000000000005,-0.5637987594180025,-8.881307798449358,8.317509039031355,12.74834731185981,15.469367715758933,0.00451221283849874,0.0
0.6800000000000005,-0.5485511037772779,-11.596040642256886,11.047489538479608,-53.07736039300773,-40.0,0.09877246712374384,0.0
0.7200000000000005,-0.48023573408944437,-12.989330802006263,12.509095067916817,-57.29577951308232,-40.0,0.1375204602771786,0.0
0.7600000000000006,-0.43540677638502356,-14.614269817013144,14.17886304062812,-57.29577951308232,-40.0,0.17059582867344328,0.0
0.8000000000000006,-0.39457995173360916,-16.56687341850641,16.1722934667728,-57.29577951308232,-40.0,0.20490325066027745,0.0
0.8400000000000006,-0.35687356195697023,-18.88092715604047,18.5240535940835,-57.29577951308232,-40.0,0.24552293378382478,0.0
0.8800000000000007,-0.32250297072733014,-21.626771065194575,21.304268094467243,-57.29577951308232,-40.0,0.2950263655877245,0.0
0.9200000000000007,-0.2912797431012244,-24.895289761916946,24.60401001881572,-57.29577951308232,-40.0,0.3553676700886688,0.0
0.9600000000000007,-0.26288431754532116,-28.798106934507423,28.535222616962102,-57.29577951308232,-40.0,0.4284904900229036,0.0
1.0000000000000007,-0.20797498088651226,-33.485953473220434,33.27797849233392,-57.29577951308232,-40.0,0.5149560062355882,0.0
1.0400000000000007,0.5350624392399559,-39.14472638037134,39.67978881961129,-57.29577951308232,-40.0,0.615103102223428,0.0
1.0800000000000007,1.1056326112166783,-46.005294639391714,47.11092725060839,-57.29577951308232,-40.0,0.721659086331134,0.0
1.7100000000000013,-6.497168792045595,22.518093354329046,-29.015262146374642,57.29577951308232,40.0,2.0631451311103497,0.2
1.7500000000000013,-35.29812763468622,30.646426534349878,-65.94455416903608,-57.29577951308232,40.0,3.5110877257021498,0.2
1.7900000000000014,-12.405705602433407,18.541867801059794,-30.947573403493198,-57.29577951308232,-40.0,2.2991141778594018,0.2
1.8300000000000014,12.375007959981133,42.9138554273907,-30.538847467409568,-57.29577951308232,-40.0,1.3994644750681153,0.2
0.032000000000000015,-0.003985207291061407,12.984622420427844,-12.988607627718904,57.29577951308232,40.0,-0.0021008747306787185,0.2
0.07200000000000005,0.32170370330006115,16.332837762711616,-16.011134059411553,37.15375300313336,40.0,0.2737705739874921,0.2
0.11200000000000009,0.20379240329650142,22.81811838856033,-22.61432598526383,-5.568006256135949,-40.0,0.12847619362021667,0.2
0.1520000000000001,0.1792489704776437,22.407560476115222,-22.228311505637578,57.29577951308232,40.0,0.08247793991034866,0.2
0.19200000000000014,0.5159369968723748,22.336894507475517,-21.82095751060314,29.40705514529159,40.0,0.20693400878913168,0.2
0.23200000000000018,0.5503472592534202,21.707051028504473,-21.156703769251052,-27.28930022620558,-40.0,0.3164406759803921,0.2
0.2720000000000002,0.5215215891837401,16.458213044871044,-15.936691455687304,57.29577951308232,40.0,0.07407444252430347,0.2
0.3120000000000002,-0.000274623154823835,13.248215189851146,-13.24848981300597,-57.29577951308232,-40.0,0.334080260106157,0.2
0.35200000000000026,-0.07145877533475166,11.109771060454202,-11.181229835788955,-17.382153492379956,-40.0,0.08442759801959868,0.2
0.3920000000000003,0.2748486356822921,4.535330585414929,-4.260481949732637,57.29577951308232,40.0,0.05998309101599775,0.2
0.43200000000000033,0.5683342410134856,2.4792589853159472,-1.9109247443024617,-57.29577951308232,-40.0,0.21164582515188318,0.2
0.47200000000000036,0.9087183963445032,-1.2991287718656275,2.2078471682101304,19.659044431518158,40.0,0.2455373815032983,0.2
0.5120000000000003,0.6350554947652371,-0.6163315478040456,1.2513870425692828,-57.29577951308232,-40.0,0.3978050465883527,0.2
0.5520000000000004,0.4877292466433206,-3.8040322574442196,4.29176150408754,57.29577951308232,40.0,-0.010671815753337852,0.2
0.5920000000000004,0.3606197942268821,-7.807639895462443,8.168259689689325,57.29577951308232,40.0,0.35818265735135646,0.2
0.6320000000000005,0.3340430591342896,-9.107795694752738,9.441838753887028,-35.14061562977125,-40.0,0.16522034642165756,0.2
0.6720000000000005,0.025487393705053714,-12.89487126897672,12.920358662681773,57.29577951308232,40.0,0.07049617376161091,0.2
0.7120000000000005,0.000499463442573727,-11.790311697988495,11.790811161431067,57.29577951308232,40.0,-0.08943834918956176,0.2
0.7520000000000006,-0.4606152034037122,-5.170903850575623,4.710288647171911,57.29577951308232,40.0,0.6837872796330833,0.2
0.7920000000000006,0.18113971804066553,5.491651270089812,-5.310511552049146,-57.29577951308232,-40.0,0.5944946046827719,0.2
0.8320000000000006,0.2670593644061934,10.471958165252662,-10.204898800846467,57.29577951308232,40.0,0.13698423947576083,0.2
0.8720000000000007,0.6579348478757234,14.424069925023991,-13.766135077148268,-57.29577951308232,-40.0,0.29311659903329146,0.2
0.9120000000000007,0.4329567664439711,17.026864366673326,-16.593907600229354,57.29577951308232,40.0,-0.05909300311376593,0.2
0.9520000000000007,-0.466031035114048,19.512475490257028,-19.978506525371078,57.29577951308232,40.0,0.18966832029047032,0.2
0.9920000000000008,-0.7109206915136531,23.6077774096059,-24.318698101119555,-54.90448060009224,-40.0,0.22486881610023823,0.2
1.0320000000000007,-0.18759639881715093,19.950185438915653,-20.137781837732803,57.29577951308232,40.0,0.02795632211312033,0.2
1.0720000000000007,-1.0418306120783742,20.27830406810547,-21.320134680183845,-36.4899960778974,-40.0,0.29658807733013853,0.2
1.1120000000000008,-1.0810211057887458,21.931097956163867,-23.012119061952614,-41.70102170738538,-40.0,0.07037920471117254,0.2
1.1520000000000008,-1.11052193715221,21.207108802763454,-22.31763073991566,57.29577951308232,40.0,0.17527972337530817,0.2
1.1920000000000008,-3.0439673506189795,22.925642116622672,-25.969609467241654,-35.11617400522527,-40.0,0.25607989974193784,0.2
1.2320000000000009,-2.439946696327998,18.89411607201659,-21.334062768344587,57.29577951308232,40.0,0.036586483885971965,0.2
1.272000000000001,-2.6518196465218042,17.008520534955686,-19.66034018147749,57.29577951308232,40.0,0.29622780735084764,0.2
1.312000000000001,-3.391464103724575,18.464223319938874,-21.85568742366345,-57.29577951308232,-40.0,0.20268904957931005,0.2
1.352000000000001,-2.2989152547130134,16.245178874549424,-18.54409412926244,31.239342729149715,40.0,0.17927926251301837,0.2
1.392000000000001,-2.317752832369083,19.31666839733611,-21.63442122970519,-57.29577951308232,-40.0,0.4216781777714345,0.2
1.432000000000001,-2.10393854671868,21.23998322733328,-23.34392177405196,57.29577951308232,40.0,0.1076772952725768,0.2
1.472000000000001,-1.9536505079324866,22.144032888656987,-24.09768339658947,-26.19934693434821,-40.0,0.1591533873044424,0.2
1.5120000000000011,-1.8459330199865736,21.745884251770754,-23.59181727175733,57.29577951308232,40.0,0.1364913396952217,0.2
1.5520000000000012,-1.72757303438267,22.71927496183988,-24.44684799622255,52.390474797708976,40.0,0.190716642551599,0.2
1.5920000000000012,-1.9850352836702976,22.388025411334777,-24.373060695005076,-57.29577951308232,-40.0,0.3308445150840605,0.2
1.6320000000000012,-2.102624900296427,20.266648280148388,-22.369273180444814,-57.29577951308232,-40.0,0.5036212658990457,0.2
1.6720000000000013,-1.4519452222930458,13.033202509636837,-14.485147731929883,-2.8574557511894563,15.689332209169352,0.2212235392333695,0.2
1.7120000000000013,-2.1084594553461113,6.414743497928738,-8.523202953274849,-57.29577951308232,-40.0,0.2743725737512909,0.2
1.7520000000000013,-1.6121432821638726,-3.8268143986413414,2.2146711164774686,57.29577951308232,40.0,-0.05919008398812166,0.2
1.7920000000000014,-1.4969588920132888,-12.105634409130545,10.608675517117256,57.29577951308232,40.0,0.1569726313769677,0.2
1.8320000000000014,-1.3831482071335484,-12.64846303981082,11.265314832677273,57.29577951308232,40.0,-0.07072491848486111,0.2
1.8720000000000014,-1.336990095002833,-8.537714699462127,7.200724604459294,-57.29577951308232,-40.0,0.32160300684428655,0.2
1.9120000000000015,-1.169452212153175,-1.712234540982257,0.542782328829082,-57.29577951308232,-40.0,0.6121482588771388,0.2
1.9520000000000015,-1.1260222403434996,-0.6552713888917368,-0.4707508514517628,54.598056034040376,40.0,0.12229832653490702,0.2
1.9920000000000015,-1.3836186666387236,-1.460325604505212,0.07670693786648837,-57.29577951308232,-40.0,0.20722515562502353,0.2
2.031999999999998,-0.909580199231915,-4.139780989916614,3.2302007906846986,-2.7671126422482897,-13.71382600381694,0.24740096680325205,0.2
2.0719999999999934,-0.9082534138464735,-5.7474572965694515,4.839203882722978,51.200303222471746,40.0,0.2805691151174632,0.2
2.111999999999989,-0.7128040708584034,-6.790520419079665,6.077716348221261,34.69438694202782,40.0,0.0890327424122919,0.2
2.1519999999999846,-0.7569277023034674,-9.159211372459128,8.40228367015566,-43.75080608333064,-40.0,0.13719861262765104,0.2
2.19199999999998,-0.6974587886797492,-11.686025224853843,10.988566436174093,57.29577951308232,40.0,-0.020201681562479746,0.2
2.231999999999976,-0.600008546655264,-9.115194946601727,8.515186399946463,57.29577951308232,40.0,0.09000256934928721,0.2
2.2719999999999714,-0.7779518302351776,-0.4864750421898582,-0.29147678804531935,-57.29577951308232,-40.0,0.5138680399665946,0.2
2.311999999999967,-0.35027579272633624,7.624139191419144,-7.974414984145479,-57.29577951308232,-40.0,0.36347602655741484,0.2
2.3519999999999626,-0.10754498538743107,9.556362550429215,-9.663907535816646,57.29577951308232,40.0,0.08917170805884,0.2
2.391999999999958,-0.15223688059130397,11.516813009053958,-11.669049889645262,57.29577951308232,40.0,0.04097804645796461,0.2
2.4319999999999538,0.8933707911546852,14.145104301357145,-13.25173351020246,-4.710083666494248,-40.0,0.2328114085017175,0.2
2.4719999999999493,-0.0456649423461197,17.26666525167007,-17.31233019401619,-17.530876872232003,-40.0,0.23918017014888576,0.2
2.511999999999945,0.30031750989144207,20.917088782764676,-20.616771272873237,57.29577951308232,40.0,0.17061244436202067,0.2
2.5519999999999405,-0.5425618922567318,23.032922164512318,-23.57548405676905,-2.247242417915315,-11.263506943636596,0.19420041425236748,0.2
2.591999999999936,-0.34707307522901504,20.873247081319246,-21.22032015654826,57.29577951308232,40.0,0.13857918334203204,0.2
2.6319999999999317,-0.3572830393063342,22.778487463583748,-23.135770502890082,-57.29577951308232,-40.0,0.2904910505480595,0.2
2.6719999999999273,-0.3291283666553941,21.229039493921285,-21.55816786057668,-57.29577951308232,-40.0,0.1213310837150135,0.2
2.711999999999923,0.10415739243970826,17.294572910060353,-17.190415517620647,37.58387233620506,40.0,0.17970012155935114,0.2
2.7519999999999185,0.25903237961888687,18.95130353047867,-18.692271150859778,-57.29577951308232,-40.0,0.37158865888872755,0.2
2.791999999999914,0.22609066132957123,17.64642233607992,-17.420331674750347,57.29577951308232,40.0,0.12847125561450629,0.2
2.8319999999999097,0.8065107064267055,16.49721626992309,-15.690705563496385,-21.648758843343323,-40.0,0.07802759569270257,0.2
2.8719999999999053,1.068072604600416,14.149209313453635,-13.081136708853219,57.29577951308232,40.0,0.20466322205817927,0.2
2.911999999999901,1.4662302703415837,16.264966420375412,-14.798736150033829,-9.569530846154377,-40.0,0.2119083620515374,0.2
2.9519999999998965,1.3170468681749714,13.728068018792547,-12.411021150617575,57.29577951308232,40.0,-0.05491389699814047,0.2
2.991999999999892,0.27253154110167427,13.172528884362652,-12.899997343260978,-21.872094302473794,-40.0,0.23710559840633388,0.2
3.0319999999998877,0.054756170598022,14.49671851747443,-14.44196234687641,57.29577951308232,40.0,0.2135819688329446,0.2
3.0719999999998833,0.2527547435930675,17.982005214317557,-17.72925047072449,-17.603429641950687,-40.0,0.18944405542469356,0.2
3.111999999999879,0.2201187570574081,17.456248883560892,-17.236130126503486,57.29577951308232,40.0,0.0282399629518442,0.2
3.1519999999998745,0.509614981669712,20.93100790029396,-20.421392918624246,-57.29577951308232,-40.0,0.30040836032940343,0.2
3.19199999999987,0.13991332670549092,22.94723379072633,-22.80732046402084,-41.541677555274326,-40.0,0.07340109561377037,0.2
3.2319999999998656,0.9016217712193442,21.25799697492132,-20.356375203701976,57.29577951308232,40.0,0.15902016084698267,0.2
3.2719999999998612,0.31550729861881394,22.770526905302376,-22.45501960668356,-57.29577951308232,-40.0,0.25800352693570716,0.2
3.311999999999857,0.22784372402634812,18.806810643589575,-18.578966919563225,57.29577951308232,40.0,0.039634790325669224,0.2
3.3519999999998524,0.5589270110604674,16.98237642559263,-16.42344941453216,57.29577951308232,40.0,0.27216027248151337,0.2
3.391999999999848,-0.16719646504262464,18.469396610110035,-18.636593075152657,-57.29577951308232,-40.0,0.20498363473822706,0.2
3.4319999999998436,0.6071446149089321,16.319026623833633,-15.711882008924702,57.29577951308232,40.0,0.15597666518146305,0.2
3.471999999999839,0.5773888670815773,19.43240518102337,-18.85501631394179,-57.29577951308232,-40.0,0.4094387255878956,0.2
3.511999999999835,0.32025609683761674,21.409608122220018,-21.0893520253824,57.29577951308232,40.0,0.11032238465840155,0.2
3.5519999999998304,0.13375629165141203,22.36312412655109,-22.229367834899676,-2.8470914965398784,-25.41406787624833,0.15435153099954282,0.2
3.591999999999826,0.04828692928811361,22.442737909083284,-22.39445097979517,32.974263243943916,40.0,0.17393282772534774,0.2
3.6319999999998216,0.0766237698775859,22.311266144700323,-22.234642374822737,52.98008924206906,40.0,0.2143116565195902,0.2
3.671999999999817,0.013667910601550006,21.104073061828668,-21.09040515122712,-57.29577951308232,-40.0,0.32852731560442233,0.2
3.711999999999813,0.3979623280677015,15.520847423193494,-15.122885095125794,47.87009084864954,40.0,0.22449131488072382,0.2
3.7519999999998084,0.2664626075785234,10.415515496345503,-10.14905288876698,57.29577951308232,40.0,0.12588406285481202,0.2
3.791999999999804,0.5636090530094602,7.003290630531403,-6.4396815775219425,-57.29577951308232,-40.0,0.2166105365643554,0.2
3.8319999999997996,0.1209824566078108,3.543146423476656,-3.4221639668688453,-57.29577951308232,-40.0,0.32200366288492355,0.2
3.871999999999795,0.08557063582126011,-0.12045472339155887,0.20602535921281898,57.29577951308232,40.0,0.31421814390331093,0.2
3.9119999999997908,0.29221167945358334,-2.2907502694144246,2.5829619488680082,-55.02992632927454,-40.0,0.137907819723477,0.2
3.9519999999997864,0.17069159587355456,-8.789828276655554,8.960519872529108,57.29577951308232,40.0,0.15331384429151268,0.2
3.991999999999782,-0.01808613493134678,-10.398666468895819,10.380580333964472,-57.29577951308232,-40.0,0.5028906124648691,0.2
4.031999999999778,-0.05569304932846427,-12.348771656476627,12.293078607148164,-27.88625049669655,-40.0,0.2304998837685446,0.2
4.071999999999774,-0.05087219079070668,-14.838938750024953,14.788066559234247,-37.00276916781597,-40.0,0.25452302627623724,0.2
4.111999999999769,-0.04650658545031113,-17.69209297487189,17.645586389421577,-57.29577951308232,-40.0,0.2951551613635066,0.2
4.151999999999765,-0.04219139213090766,-20.955151435371622,20.912960043240716,-57.29577951308232,-40.0,0.34355289863291727,0.2
4.19199999999976,-0.03798566457683542,-24.72057274858556,24.682587084008727,-57.29577951308232,-40.0,0.4037035574041606,0.2
4.231999999999756,-0.0520857961432626,-29.124927416711547,29.072841620568283,-57.29577951308232,-40.0,0.47736538108480564,0.2
4.2719999999997516,0.7053569856184898,-34.325768333745835,35.03112531936433,-57.29577951308232,-40.0,0.5658233738699263,0.2
4.311999999999747,0.6419852279015821,-40.5333898819868,41.17537510988838,-57.29577951308232,-40.0,0.6668088822444611,0.2
4.351999999999743,-0.016860067048286048,-48.03911586488891,48.02225579784062,-57.29577951308232,-40.0,0.7637746153540881,0.2
0.024000000000000007,-0.00412935851425638,12.946212229979622,-12.95034158849388,0.0,0.23978641940296622,-0.001618687583312784,0.2
0.06400000000000004,-0.08408474057609738,15.140280384062502,-15.2243651246386,44.32799788966388,40.0,0.22496407681419892,0.2
0.10400000000000008,0.20897104183669868,22.008045518122913,-21.799074476286215,-0.33851857992734735,-9.649162464420364,0.20782675579094437,0.2
0.1440000000000001,0.17614467565343994,22.927205629884927,-22.751060954231487,57.29577951308232,40.0,0.13968769886890522,0.2
0.18400000000000014,0.13952680408123383,22.312082858681276,-22.17255605460004,10.403903899584067,40.0,0.19324739220349194,0.2
0.22400000000000017,0.39587222066787947,22.07074399794274,-21.67487177727486,-29.214229688574143,-40.0,0.4229362350087339,0.2
0.2640000000000002,0.20176476827182274,18.110907224390196,-17.909142456118374,-14.576121051553658,-40.0,0.18128866382867703,0.2
0.3040000000000002,0.13920014574527645,8.816053539897773,-8.676853394152497,57.29577951308232,40.0,0.0260564056515111,0.2
0.34400000000000025,0.5083345515723463,3.4678984375404016,-2.959563885968055,-57.29577951308232,-40.0,0.3630654320240644,0.2
0.3840000000000003,0.5841488949940116,-1.1200351670603153,1.704184062054327,-27.967744482954398,-40.0,0.021903191145719633,0.2
0.4240000000000003,0.48614465515157335,-8.650537019833097,9.136681674984672,57.29577951308232,40.0,0.21103274681415893,0.2
0.46400000000000036,0.17953424276507826,-10.952914747887961,11.132448990653039,-57.29577951308232,-40.0,0.35867309814774545,0.2
